Plancode,BenefitType,Benefit,IssueVersion,Sex,Rateclass,Band,Index(BENCOI),Index(BENTRG)
1U1F4M00,21,,1,M,E,1,13400,13400
1U1F4M00,21,,1,M,E,2,13400,13400
1U1F4M00,21,,1,M,E,3,13400,13400
1U1F4M00,21,,1,M,E,4,13400,13400
1U1F4M00,21,,1,M,F,1,13400,13400
1U1F4M00,21,,1,M,F,2,13400,13400
1U1F4M00,21,,1,M,F,3,13400,13400
1U1F4M00,21,,1,M,F,4,13400,13400
1U1F4M00,21,,1,M,G,1,13400,13400
1U1F4M00,21,,1,M,G,2,13400,13400
1U1F4M00,21,,1,M,G,3,13400,13400
1U1F4M00,21,,1,M,G,4,13400,13400
1U1F4M00,21,,1,M,H,1,13400,13400
1U1F4M00,21,,1,M,H,2,13400,13400
1U1F4M00,21,,1,M,H,3,13400,13400
1U1F4M00,21,,1,M,H,4,13400,13400
1U1F4M00,21,,1,M,I,1,13400,13400
1U1F4M00,21,,1,M,I,2,13400,13400
1U1F4M00,21,,1,M,I,3,13400,13400
1U1F4M00,21,,1,M,I,4,13400,13400
1U1F4M00,21,,1,M,K,1,13400,13400
1U1F4M00,21,,1,M,K,2,13400,13400
1U1F4M00,21,,1,M,K,3,13400,13400
1U1F4M00,21,,1,M,K,4,13400,13400
1U1F4M00,21,,1,F,E,1,13401,13401
1U1F4M00,21,,1,F,E,2,13401,13401
1U1F4M00,21,,1,F,E,3,13401,13401
1U1F4M00,21,,1,F,E,4,13401,13401
1U1F4M00,21,,1,F,F,1,13401,13401
1U1F4M00,21,,1,F,F,2,13401,13401
1U1F4M00,21,,1,F,F,3,13401,13401
1U1F4M00,21,,1,F,F,4,13401,13401
1U1F4M00,21,,1,F,G,1,13401,13401
1U1F4M00,21,,1,F,G,2,13401,13401
1U1F4M00,21,,1,F,G,3,13401,13401
1U1F4M00,21,,1,F,G,4,13401,13401
1U1F4M00,21,,1,F,H,1,13401,13401
1U1F4M00,21,,1,F,H,2,13401,13401
1U1F4M00,21,,1,F,H,3,13401,13401
1U1F4M00,21,,1,F,H,4,13401,13401
1U1F4M00,21,,1,F,I,1,13401,13401
1U1F4M00,21,,1,F,I,2,13401,13401
1U1F4M00,21,,1,F,I,3,13401,13401
1U1F4M00,21,,1,F,I,4,13401,13401
1U1F4M00,21,,1,F,K,1,13401,13401
1U1F4M00,21,,1,F,K,2,13401,13401
1U1F4M00,21,,1,F,K,3,13401,13401
1U1F4M00,21,,1,F,K,4,13401,13401
1U1F4M00,3F,312,1,M,E,1,13402,13402
1U1F4M00,3F,312,1,M,E,2,13402,13402
1U1F4M00,3F,312,1,M,E,3,13402,13402
1U1F4M00,3F,312,1,M,E,4,13402,13402
1U1F4M00,3F,312,1,M,F,1,13402,13402
1U1F4M00,3F,312,1,M,F,2,13402,13402
1U1F4M00,3F,312,1,M,F,3,13402,13402
1U1F4M00,3F,312,1,M,F,4,13402,13402
1U1F4M00,3F,312,1,M,G,1,13402,13402
1U1F4M00,3F,312,1,M,G,2,13402,13402
1U1F4M00,3F,312,1,M,G,3,13402,13402
1U1F4M00,3F,312,1,M,G,4,13402,13402
1U1F4M00,3F,312,1,M,H,1,13403,13403
1U1F4M00,3F,312,1,M,H,2,13403,13403
1U1F4M00,3F,312,1,M,H,3,13403,13403
1U1F4M00,3F,312,1,M,H,4,13403,13403
1U1F4M00,3F,312,1,M,I,1,13404,13404
1U1F4M00,3F,312,1,M,I,2,13404,13404
1U1F4M00,3F,312,1,M,I,3,13404,13404
1U1F4M00,3F,312,1,M,I,4,13404,13404
1U1F4M00,3F,312,1,M,K,1,13404,13404
1U1F4M00,3F,312,1,M,K,2,13404,13404
1U1F4M00,3F,312,1,M,K,3,13404,13404
1U1F4M00,3F,312,1,M,K,4,13404,13404
1U1F4M00,3F,312,1,F,E,1,13405,13405
1U1F4M00,3F,312,1,F,E,2,13405,13405
1U1F4M00,3F,312,1,F,E,3,13405,13405
1U1F4M00,3F,312,1,F,E,4,13405,13405
1U1F4M00,3F,312,1,F,F,1,13405,13405
1U1F4M00,3F,312,1,F,F,2,13405,13405
1U1F4M00,3F,312,1,F,F,3,13405,13405
1U1F4M00,3F,312,1,F,F,4,13405,13405
1U1F4M00,3F,312,1,F,G,1,13405,13405
1U1F4M00,3F,312,1,F,G,2,13405,13405
1U1F4M00,3F,312,1,F,G,3,13405,13405
1U1F4M00,3F,312,1,F,G,4,13405,13405
1U1F4M00,3F,312,1,F,H,1,13406,13406
1U1F4M00,3F,312,1,F,H,2,13406,13406
1U1F4M00,3F,312,1,F,H,3,13406,13406
1U1F4M00,3F,312,1,F,H,4,13406,13406
1U1F4M00,3F,312,1,F,I,1,13407,13407
1U1F4M00,3F,312,1,F,I,2,13407,13407
1U1F4M00,3F,312,1,F,I,3,13407,13407
1U1F4M00,3F,312,1,F,I,4,13407,13407
1U1F4M00,3F,312,1,F,K,1,13407,13407
1U1F4M00,3F,312,1,F,K,2,13407,13407
1U1F4M00,3F,312,1,F,K,3,13407,13407
1U1F4M00,3F,312,1,F,K,4,13407,13407
1U1F4M00,4M,,1,M,E,1,13408,13408
1U1F4M00,4M,,1,M,E,2,13408,13408
1U1F4M00,4M,,1,M,E,3,13408,13408
1U1F4M00,4M,,1,M,E,4,13408,13408
1U1F4M00,4M,,1,M,F,1,13409,13409
1U1F4M00,4M,,1,M,F,2,13409,13409
1U1F4M00,4M,,1,M,F,3,13409,13409
1U1F4M00,4M,,1,M,F,4,13409,13409
1U1F4M00,4M,,1,M,G,1,13409,13409
1U1F4M00,4M,,1,M,G,2,13409,13409
1U1F4M00,4M,,1,M,G,3,13409,13409
1U1F4M00,4M,,1,M,G,4,13409,13409
1U1F4M00,4M,,1,M,H,1,13410,13410
1U1F4M00,4M,,1,M,H,2,13410,13410
1U1F4M00,4M,,1,M,H,3,13410,13410
1U1F4M00,4M,,1,M,H,4,13410,13410
1U1F4M00,4M,,1,M,I,1,13411,13411
1U1F4M00,4M,,1,M,I,2,13411,13411
1U1F4M00,4M,,1,M,I,3,13411,13411
1U1F4M00,4M,,1,M,I,4,13411,13411
1U1F4M00,4M,,1,M,K,1,13411,13411
1U1F4M00,4M,,1,M,K,2,13411,13411
1U1F4M00,4M,,1,M,K,3,13411,13411
1U1F4M00,4M,,1,M,K,4,13411,13411
1U1F4M00,4M,,1,F,E,1,13412,13412
1U1F4M00,4M,,1,F,E,2,13412,13412
1U1F4M00,4M,,1,F,E,3,13412,13412
1U1F4M00,4M,,1,F,E,4,13412,13412
1U1F4M00,4M,,1,F,F,1,13412,13412
1U1F4M00,4M,,1,F,F,2,13412,13412
1U1F4M00,4M,,1,F,F,3,13412,13412
1U1F4M00,4M,,1,F,F,4,13412,13412
1U1F4M00,4M,,1,F,G,1,13412,13412
1U1F4M00,4M,,1,F,G,2,13412,13412
1U1F4M00,4M,,1,F,G,3,13412,13412
1U1F4M00,4M,,1,F,G,4,13412,13412
1U1F4M00,4M,,1,F,H,1,13413,13413
1U1F4M00,4M,,1,F,H,2,13413,13413
1U1F4M00,4M,,1,F,H,3,13413,13413
1U1F4M00,4M,,1,F,H,4,13413,13413
1U1F4M00,4M,,1,F,I,1,13414,13414
1U1F4M00,4M,,1,F,I,2,13414,13414
1U1F4M00,4M,,1,F,I,3,13414,13414
1U1F4M00,4M,,1,F,I,4,13414,13414
1U1F4M00,4M,,1,F,K,1,13414,13414
1U1F4M00,4M,,1,F,K,2,13414,13414
1U1F4M00,4M,,1,F,K,3,13414,13414
1U1F4M00,4M,,1,F,K,4,13414,13414
1U1F4M00,7G,,1,M,E,1,13415,13415
1U1F4M00,7G,,1,M,E,2,13415,13415
1U1F4M00,7G,,1,M,E,3,13415,13415
1U1F4M00,7G,,1,M,E,4,13415,13415
1U1F4M00,7G,,1,M,F,1,13416,13416
1U1F4M00,7G,,1,M,F,2,13416,13416
1U1F4M00,7G,,1,M,F,3,13416,13416
1U1F4M00,7G,,1,M,F,4,13416,13416
1U1F4M00,7G,,1,M,G,1,13417,13417
1U1F4M00,7G,,1,M,G,2,13417,13417
1U1F4M00,7G,,1,M,G,3,13417,13417
1U1F4M00,7G,,1,M,G,4,13417,13417
1U1F4M00,7G,,1,M,H,1,13418,13418
1U1F4M00,7G,,1,M,H,2,13418,13418
1U1F4M00,7G,,1,M,H,3,13418,13418
1U1F4M00,7G,,1,M,H,4,13418,13418
1U1F4M00,7G,,1,M,I,1,13419,13419
1U1F4M00,7G,,1,M,I,2,13419,13419
1U1F4M00,7G,,1,M,I,3,13419,13419
1U1F4M00,7G,,1,M,I,4,13419,13419
1U1F4M00,7G,,1,M,K,1,13419,13419
1U1F4M00,7G,,1,M,K,2,13419,13419
1U1F4M00,7G,,1,M,K,3,13419,13419
1U1F4M00,7G,,1,M,K,4,13419,13419
1U1F4M00,7G,,1,F,E,1,13420,13420
1U1F4M00,7G,,1,F,E,2,13420,13420
1U1F4M00,7G,,1,F,E,3,13420,13420
1U1F4M00,7G,,1,F,E,4,13420,13420
1U1F4M00,7G,,1,F,F,1,13421,13421
1U1F4M00,7G,,1,F,F,2,13421,13421
1U1F4M00,7G,,1,F,F,3,13421,13421
1U1F4M00,7G,,1,F,F,4,13421,13421
1U1F4M00,7G,,1,F,G,1,13422,13422
1U1F4M00,7G,,1,F,G,2,13422,13422
1U1F4M00,7G,,1,F,G,3,13422,13422
1U1F4M00,7G,,1,F,G,4,13422,13422
1U1F4M00,7G,,1,F,H,1,13423,13423
1U1F4M00,7G,,1,F,H,2,13423,13423
1U1F4M00,7G,,1,F,H,3,13423,13423
1U1F4M00,7G,,1,F,H,4,13423,13423
1U1F4M00,7G,,1,F,I,1,13424,13424
1U1F4M00,7G,,1,F,I,2,13424,13424
1U1F4M00,7G,,1,F,I,3,13424,13424
1U1F4M00,7G,,1,F,I,4,13424,13424
1U1F4M00,7G,,1,F,K,1,13424,13424
1U1F4M00,7G,,1,F,K,2,13424,13424
1U1F4M00,7G,,1,F,K,3,13424,13424
1U1F4M00,7G,,1,F,K,4,13424,13424
