Plancode,IssueVersion,Sex,RateClass,Band,State,Index(COI),Index(TRGPREM)
1U1F4M00,1,1,E,A,AA,13400,
1U1F4M00,1,1,E,B,AA,13400,13400
1U1F4M00,1,1,E,C,AA,13400,13401
1U1F4M00,1,1,E,D,AA,13400,13402
1U1F4M00,1,1,F,A,AA,13401,
1U1F4M00,1,1,F,B,AA,13401,13403
1U1F4M00,1,1,F,C,AA,13401,13404
1U1F4M00,1,1,F,D,AA,13401,13405
1U1F4M00,1,1,G,A,AA,13402,13406
1U1F4M00,1,1,G,B,AA,13402,13407
1U1F4M00,1,1,G,C,AA,13402,13408
1U1F4M00,1,1,G,D,AA,13402,13409
1U1F4M00,1,1,H,A,AA,13403,13410
1U1F4M00,1,1,H,B,AA,13403,13411
1U1F4M00,1,1,H,C,AA,13403,13412
1U1F4M00,1,1,H,D,AA,13403,13413
1U1F4M00,1,1,I,A,AA,13404,13414
1U1F4M00,1,1,I,B,AA,13404,13415
1U1F4M00,1,1,I,C,AA,13404,13416
1U1F4M00,1,1,I,D,AA,13404,13417
1U1F4M00,1,1,K,A,AA,13405,13418
1U1F4M00,1,1,K,B,AA,13405,13419
1U1F4M00,1,1,K,C,AA,13405,13420
1U1F4M00,1,1,K,D,AA,13405,13421
1U1F4M00,1,2,E,A,AA,13406,
1U1F4M00,1,2,E,B,AA,13406,13422
1U1F4M00,1,2,E,C,AA,13406,13423
1U1F4M00,1,2,E,D,AA,13406,13424
1U1F4M00,1,2,F,A,AA,13407,
1U1F4M00,1,2,F,B,AA,13407,13425
1U1F4M00,1,2,F,C,AA,13407,13426
1U1F4M00,1,2,F,D,AA,13407,13427
1U1F4M00,1,2,G,A,AA,13408,13428
1U1F4M00,1,2,G,B,AA,13408,13429
1U1F4M00,1,2,G,C,AA,13408,13430
1U1F4M00,1,2,G,D,AA,13408,13431
1U1F4M00,1,2,H,A,AA,13409,13432
1U1F4M00,1,2,H,B,AA,13409,13433
1U1F4M00,1,2,H,C,AA,13409,13434
1U1F4M00,1,2,H,D,AA,13409,13435
1U1F4M00,1,2,I,A,AA,13410,13436
1U1F4M00,1,2,I,B,AA,13410,13437
1U1F4M00,1,2,I,C,AA,13410,13438
1U1F4M00,1,2,I,D,AA,13410,13439
1U1F4M00,1,2,K,A,AA,13411,13440
1U1F4M00,1,2,K,B,AA,13411,13441
1U1F4M00,1,2,K,C,AA,13411,13442
1U1F4M00,1,2,K,D,AA,13411,13443
