Index,Plancode,IssueVersion,Sex,RateClass,Band
13400,1U1F4N00,,1,E,A
13401,1U1F4N00,,1,E,B
13402,1U1F4N00,,1,E,C
13403,1U1F4N00,,1,E,D
13404,1U1F4N00,,1,F,A
13405,1U1F4N00,,1,F,B
13406,1U1F4N00,,1,F,C
13407,1U1F4N00,,1,F,D
13408,1U1F4N00,,1,G,A
13409,1U1F4N00,,1,G,B
13410,1U1F4N00,,1,G,C
13411,1U1F4N00,,1,G,D
13412,1U1F4N00,,1,H,A
13413,1U1F4N00,,1,H,B
13414,1U1F4N00,,1,H,C
13415,1U1F4N00,,1,H,D
13416,1U1F4N00,,1,I,A
13417,1U1F4N00,,1,I,B
13418,1U1F4N00,,1,I,C
13419,1U1F4N00,,1,I,D
13420,1U1F4N00,,1,K,A
13421,1U1F4N00,,1,K,B
13422,1U1F4N00,,1,K,C
13423,1U1F4N00,,1,K,D
13424,1U1F4N00,,2,E,A
13425,1U1F4N00,,2,E,B
13426,1U1F4N00,,2,E,C
13427,1U1F4N00,,2,E,D
13428,1U1F4N00,,2,F,A
13429,1U1F4N00,,2,F,B
13430,1U1F4N00,,2,F,C
13431,1U1F4N00,,2,F,D
13432,1U1F4N00,,2,G,A
13433,1U1F4N00,,2,G,B
13434,1U1F4N00,,2,G,C
13435,1U1F4N00,,2,G,D
13436,1U1F4N00,,2,H,A
13437,1U1F4N00,,2,H,B
13438,1U1F4N00,,2,H,C
13439,1U1F4N00,,2,H,D
13440,1U1F4N00,,2,I,A
13441,1U1F4N00,,2,I,B
13442,1U1F4N00,,2,I,C
13443,1U1F4N00,,2,I,D
13444,1U1F4N00,,2,K,A
13445,1U1F4N00,,2,K,B
13446,1U1F4N00,,2,K,C
13447,1U1F4N00,,2,K,D
